numeroCandidato|siglaCandidato|nomeCandidato
1|Alessi G.|Alessi Giuseppe
2|Briganò V.|Briganò Vincenzo detto Enzo
3|Briguglio M.|Briguglio Marco detto Briguglia
4|Cancemi A.|Cancemi Anna
5|Caputo M.|Caputo Mario detto Salvino
6|Caravella C.|Caravella Caterina detta Katia, Catia
7|Di Blasi G.|Di Blasi Giuseppe
8|Falzone Alissone F.|Falzone Alissone Fanny detta Falzone, Alissone
9|Fricano C.|Fricano Calogero
10|Genova A.|Genova Agostino
11|Guzzo M.|Guzzo Mariano
12|Incarbona A.|Incarbona Andreina
13|Lombardo D.|Lombardo Daniela
14|Longo S.|Longo Salvatore detto Toti
15|Rizzotto A.|Rizzotto Antonino detto Tony, Rizzuto
16|Torre A.|Torre Angelo
