sezione|votanti|ubicazione|numeroElettori
1|126|SCUOLA DELL'INFANZIA"MADRE TERESA DI C." VIA MAQUEDA N.53|1100
2|105|SCUOLA PRIMARIA "MANZONI" VIA PARLATORE FILIPPO N.56|697
3|111|SCUOLA PRIM.E DELL'INF."CASTELLANA" VIA CASTELLANA N.40|926
4|161|SCUOLA PRIMARIA "VITALI" VIA INSERRA N.1|1152
5|94|SCUOLA DELL'INFANZIA"MADRE TERESA DI C." VIA MAQUEDA N.53|785
6|108|SCUOLA PRIMARIA "BASILE" LARGO CORLEONE N.11/T|1065
7|118|SCUOLA PRIMARIA "FILIPPO RACITI" VIA ALIA N.16|905
8|115|SCUOLA DELL'INFANZIA "JACK LONDON" VIA LONDON JACK N.1/A|959
9|163|SCUOLA PRIMARIA "MANTEGNA" VIA BOLOGNI N.4|1077
10|61|SCUOLA PRIMARIA "EX SCIASCIA" VIA MARCHESE NICOLO' PENSABENE N.34|946
11|126|SCUOLA PRIMARIA "ANDREA SOLE" VIA MOLARA N.30|1215
12|102|SCUOLA PRIMARIA "TURRISI COLONNA" PIAZZA GRAN CANCELLIERE N.1|1138
13|145|SCUOLA ELEMENTARE FERRARA PIAZZA MAGIONE N.1|1155
14|97|SCUOLA PRIMARIA "PAULSEN" P.LE CARPINO FRANCESCO CARD. N.3|810
15|100|SCUOLA PRIMARIA "BORSELLINO" LARGO CAMASTRA N.4|924
16|79|SCUOLA SECOND.I GRADO "PIRANDELLO" VIA DELL'USIGNOLO N.5|951
17|100|SCUOLA PRIMARIA "MARABITTI" VIA SPEDALIERI NICOLO' N.52|808
18|143|SCUOLA PRIMARIA "UMBERTO GIORDANO" VIA DAIDONE N.24|872
19|98|SCUOLA PRIMARIA "OBERDAN" VIA SPICA PIETRO N.5|1210
20|154|SCUOLA PRIMARIA "G.FAVA" VIA MONTE S.CALOGERO N.20|839
21|142|SCUOLA PRIMARIA E INFANZIA "M.GANDHI" VIA SARDEGNA N.55|1011
22|153|SCUOLA SECOND.I GR.E PRIM."VERDI" VIA CASELLA ALFREDO N.35|926
23|136|SCUOLA PRIMARIA "ETTORE ARCULEO" VIA SCHIFANI VITO N.3|965
24|153|SCUOLA PRIM.E DELL'INF."CASTELLANA" VIA CASTELLANA N.40|859
25|242|SCUOLA PRIMARIA "PAULSEN" P.LE CARPINO FRANCESCO CARD. N.3|1247
26|155|SCUOLA SECOND.I GR. "LEONARDO DA VINCI" VIA DI GIORGI FERDINANDO N.48|777
27|131|SCUOLA PRIMARIA "IGNAZIO BUTTITTA" VIA CIMABUE GIOVANNI N.20|932
28|106|SCUOLA PRIMARIA "BORSELLINO" LARGO CAMASTRA N.4|885
29|142|SCUOLA ELEMENTARE FERRARA PIAZZA MAGIONE N.1|1164
