sezione,votanti,votantiUomini,votantiDonne,ubicazione,numeroElettori,affluenzaPercentuale
307,522,235,287,"SCUOLA PRIMARIA ""G.FAVA"" VIA MONTE S.CALOGERO N.20",815,64.0490797546
185,557,266,291,"SCUOLA PRIMARIA ""RAPISARDI"" VIA CALTANISSETTA N.27",870,64.0229885057
176,560,251,309,"SCUOLA PRIMARIA ""ALMEJDA - PITRE'"" VIA DAMIANI ALMEJDA N.27",893,62.7099664054
238,513,241,272,"SCUOLA PRIMARIA ""BORSELLINO"" VIA GIOTTO N.41",838,61.2171837709
141,423,194,229,"SCUOLA SECOND.I GRADO ""V.E.ORLANDO"" VIA LUSSEMBURGO N.103",698,60.6017191977
216,602,288,314,"SCUOLA PRIMARIA ""G.FAVA"" VIA MONTE S.CALOGERO N.20",994,60.5633802817
293,420,202,218,"SCUOLA SECOND.I GRADO ""V.E.ORLANDO"" VIA LUSSEMBURGO N.103",694,60.5187319885
513,501,249,252,"SCUOLA PRIMARIA ""TRINACRIA"" VIA TRINACRIA N.1",829,60.4342581423
535,601,296,305,"SCUOLA SECOND. DI I GRADO ""PIAZZI"" VIA RUTELLI MARIO N.50",995,60.4020100503
302,614,314,300,"SCUOLA PRIMARIA ""PAULSEN"" P.LE CARPINO FRANCESCO CARD. N.3",1018,60.3143418468
558,520,230,290,"SCUOLA PRIMARIA ""GARZILLI"" VIA ISONZO N.7",863,60.2549246813
576,516,241,275,"DIREZIONE DIDATTICA ""DE GASPERI"" PIAZZA GIOVANNI PAOLO II PAPA N.24",858,60.1398601399
21,607,297,310,"SCUOLA PRIMARIA E INFANZIA ""M.GANDHI"" VIA SARDEGNA N.55",1011,60.0395647873
191,564,262,302,"SCUOLA SECOND.I GRADO ""GENTILI"" VIA LO JACONO FRANCESCO N.1",943,59.8091198303
555,554,267,287,"SCUOLA PRIMARIA ""GARZILLI"" VIA ISONZO N.7",928,59.6982758621
363,594,260,334,"SCUOLA SECOND. DI I GRADO ""PIAZZI"" VIA RUTELLI MARIO N.50",998,59.5190380762
20,499,235,264,"SCUOLA PRIMARIA ""G.FAVA"" VIA MONTE S.CALOGERO N.20",839,59.4755661502
508,419,202,217,"SCUOLA SECOND.I GRADO ""V.E.ORLANDO"" VIA LUSSEMBURGO N.103",705,59.4326241135
464,516,256,260,"SCUOLA PRIMARIA ""GARZILLI"" VIA ISONZO N.7",869,59.3785960875
526,600,274,326,"SCUOLA DELL'INFANZIA ""TOMASELLI"" VIA ABRUZZI N.2",1011,59.3471810089
328,545,271,274,"SCUOLA PRIMARIA ""BRAGAGLIA"" VIA BRAGAGLIA MARINELLA N.23",919,59.3035908596
407,463,205,258,"DIREZIONE DIDATTICA ""DE GASPERI"" PIAZZA GIOVANNI PAOLO II PAPA N.24",781,59.2829705506
42,462,223,239,"SCUOLA PRIMARIA ""SUNSERI"" VIA SUNSERI GIUSEPPE N.19",780,59.2307692308
561,636,299,337,"SCUOLA PRIMARIA E INFANZIA ""M.GANDHI"" VIA SARDEGNA N.55",1074,59.217877095
470,580,259,321,"SCUOLA PRIMARIA ""ALMEJDA - PITRE'"" VIA DAMIANI ALMEJDA N.27",981,59.123343527
178,628,290,338,"SCUOLA PRIMARIA ""ALMEJDA - PITRE'"" VIA DAMIANI ALMEJDA N.27",1064,59.022556391
452,571,295,276,"SCUOLA PRIMARIA ""BERNINI"" VIA PAPALEO PIETRO N.8",968,58.9876033058
310,439,237,202,"DIREZIONE DIDATTICA ""DE GASPERI"" PIAZZA GIOVANNI PAOLO II PAPA N.24",745,58.9261744966
177,509,229,280,"SCUOLA PRIMARIA ""RAPISARDI"" VIA CALTANISSETTA N.27",865,58.8439306358
143,418,190,228,"SCUOLA SECOND.I GRADO ""V.E.ORLANDO"" VIA LUSSEMBURGO N.103",711,58.7904360056
428,492,227,265,"SCUOLA PRIMARIA ""GIOVANNI XXIII"" VIA SAMPOLO N.63",838,58.7112171838
52,474,217,257,"SCUOLA SECOND.I GR. ""LEONARDO DA VINCI"" VIA DI GIORGI FERDINANDO N.48",808,58.6633663366
173,531,236,295,"SCUOLA SECOND.I GRADO ""GENTILI"" VIA LO JACONO FRANCESCO N.1",907,58.5446527012
577,490,234,256,"SCUOLA PRIMARIA ""GARZILLI"" VIA ISONZO N.7",840,58.3333333333
179,485,233,252,"SC.SECOND.I GRADO ""DEL FERVORE"" VIA DEL FERVORE N.5",833,58.2232893157
116,535,267,268,"SCUOLA PRIMARIA ""LA MASA"" VIA LA MASA GIUSEPPE N.17",919,58.2154515778
209,440,206,234,"SCUOLA PRIMARIA E INFANZIA ""M.GANDHI"" VIA SARDEGNA N.55",758,58.0474934037
436,526,254,272,"SCUOLA SECOND.I GR.E PRIM.""VERDI"" VIA CASELLA ALFREDO N.35",908,57.9295154185
367,679,338,341,"SCUOLA PRIMARIA ""PASCOLI"" VIA NETTUNO N.7",1173,57.8857630009
554,498,227,271,"SCUOLA PRIMARIA ""GARZILLI"" VIA ISONZO N.7",862,57.7726218097
506,414,197,217,"SCUOLA PRIMARIA ""SUNSERI"" VIA SUNSERI GIUSEPPE N.19",718,57.6601671309
137,423,207,216,"SCUOLA SECOND.I GRADO ""V.E.ORLANDO"" VIA LUSSEMBURGO N.103",735,57.5510204082
145,418,196,222,"DIREZIONE DIDATTICA ""DE GASPERI"" PIAZZA GIOVANNI PAOLO II PAPA N.24",727,57.4965612105
34,551,310,241,"SCUOLA SECOND. DI I GRADO ""VERDI"" VIA FERMI ENRICO N.2",961,57.3361082206
358,474,228,246,"SCUOLA SECOND.I GR. ""LEONARDO DA VINCI"" VIA DI GIORGI FERDINANDO N.48",828,57.2463768116
172,581,260,321,"SCUOLA SECOND. DI I GRADO ""PIAZZI"" VIA RUTELLI MARIO N.50",1015,57.2413793103
296,459,223,236,"SCUOLA PRIM.E DELL'INFANZ.""LAMBRUSCHINI"" VIA DON GIOVANNI MINZONI N.1",802,57.2319201995
170,631,301,330,"SCUOLA SECOND. DI I GRADO ""PIAZZI"" VIA RUTELLI MARIO N.50",1103,57.2076155938
392,616,312,304,"SCUOLA PRIMARIA ""ROSARIO GREGORIO"" VIA MARINAI ALLIATA N.33",1077,57.1959145775
97,563,254,309,"SCUOLA PRIMARIA ""UMBERTO GIORDANO"" VIA DAIDONE N.24",985,57.1573604061
153,581,294,287,"SCUOLA PRIMARIA ""GIOVANNI XXIII"" VIA SAMPOLO N.63",1017,57.1288102262
68,602,285,317,"SCUOLA DELL'INFANZIA ""TOMASELLI"" VIA ABRUZZI N.2",1055,57.0616113744
499,531,254,277,"SCUOLA SECOND.I GR.E PRIM.""VERDI"" VIA CASELLA ALFREDO N.35",932,56.974248927
157,418,197,221,"SCUOLA SECOND. DI I GRADO ""VERDI"" VIA FERMI ENRICO N.2",734,56.9482288828
22,527,242,285,"SCUOLA SECOND.I GR.E PRIM.""VERDI"" VIA CASELLA ALFREDO N.35",926,56.9114470842
106,533,266,267,"SCUOLA PRIMARIA ""SAN LORENZO"" VIA S.LORENZO N.89",937,56.8836712914
557,510,227,283,"SCUOLA PRIMARIA ""TRINACRIA"" VIA TRINACRIA N.1",897,56.856187291
96,457,222,235,"SCUOLA PRIMARIA ""G.FAVA"" VIA MONTE S.CALOGERO N.20",804,56.8407960199
364,569,275,294,"SCUOLA PRIMARIA ""GARZILLI"" VIA ISONZO N.7",1002,56.7864271457
88,509,263,246,"SCUOLA PRIMARIA ""BRAGAGLIA"" VIA BRAGAGLIA MARINELLA N.23",897,56.7447045708
149,468,216,252,"SCUOLA PRIMARIA ""G.FAVA"" VIA MONTE S.CALOGERO N.20",825,56.7272727273
237,627,317,310,"SCUOLA PRIMARIA ""GABELLI"" VIA EUGENIO L'EMIRO N.30",1106,56.6907775769
501,558,265,293,"SCUOLA SECOND. DI I GRADO ""PIAZZI"" VIA RUTELLI MARIO N.50",987,56.5349544073
465,525,240,285,"SCUOLA SECOND.DI I GRADO ""MARCONI"" VIA DI GIORGIO ANTONINO GEN. N.4",929,56.512378902
26,439,226,213,"SCUOLA SECOND.I GR. ""LEONARDO DA VINCI"" VIA DI GIORGI FERDINANDO N.48",777,56.4993564994
77,369,188,181,"SCUOLA PRIMARIA ""BERNINI"" VIA PAPALEO PIETRO N.8",654,56.4220183486
148,553,259,294,"SCUOLA SECOND. DI I GRADO ""PIAZZI"" VIA RUTELLI MARIO N.50",982,56.3136456212
213,483,221,262,"SCUOLA PRIMARIA ""COLLODI"" VIA BRIUCCIA N.89",859,56.2281722934
283,529,244,285,"SCUOLA PRIMARIA ""COLLODI"" VIA BRIUCCIA N.89",941,56.2167906482
360,548,270,278,"SCUOLA PRIMARIA ""VITTORINO DA FELTRE"" Corso Calatafimi n. 1035",977,56.0900716479
165,438,203,235,"SCUOLA SECOND.I GR. ""LEONARDO DA VINCI"" VIA DI GIORGI FERDINANDO N.48",781,56.0819462228
525,609,298,311,"SCUOLA DELL'INFANZIA ""TOMASELLI"" VIA ABRUZZI N.2",1087,56.0257589696
