comune,elettori,votanti,percentuale
Aci Bonaccorsi,2915,531,18.22
Aci Castello,16193,2889,17.84
Aci Catena,24140,3873,16.04
Aci Sant'Antonio,14956,2283,15.26
Acireale,45765,7939,17.35
Adrano,35534,3005,8.46
Belpasso,22848,3210,14.05
Biancavilla,21537,1954,9.07
Bronte,19007,1377,7.24
Calatabiano,5362,482,8.99
Caltagirone,34842,3466,9.95
Camporotondo Etneo,3968,228,5.75
Castel di Judica,4280,442,10.33
Castiglione di Sicilia,4186,223,5.33
Catania,264764,35290,13.33
Fiumefreddo di Sicilia,9054,901,9.95
Giarre,24910,2341,9.4
Grammichele,14235,895,6.29
Gravina di Catania,21784,3683,16.91
Licodia Eubea,3582,153,4.27
Linguaglossa,5435,453,8.33
Maletto,4702,301,6.4
Maniace,2969,236,7.95
Mascali,12613,1806,14.32
Mascalucia,26121,4377,16.76
Mazzarrone,2972,172,5.79
Militello in Val di Catania,8196,737,8.99
Milo,1032,134,12.98
Mineo,7408,421,5.68
Mirabella Imbaccari,9153,417,4.56
Misterbianco,40255,5655,14.05
Motta Sant'Anastasia,9749,1522,15.61
Nicolosi,6361,991,15.58
Palagonia,15586,1176,7.55
Paternò,41325,4609,11.15
Pedara,12103,2209,18.25
Piedimonte Etneo,4500,426,9.47
Raddusa,3834,283,7.38
Ragalna,3330,465,13.96
Ramacca,10294,842,8.18
Randazzo,11634,812,6.98
Riposto,13699,1771,12.93
San Cono,3536,195,5.51
San Giovanni La Punta,19290,3254,16.87
San Gregorio di Catania,9886,1819,18.4
San Michele di Ganzaria,4291,256,5.97
San Pietro Clarenza,6260,1079,17.24
Sant'Agata Li Battiati,8228,1590,19.32
Sant'Alfio,1647,161,9.78
Santa Maria di Licodia,6613,730,11.04
Santa Venerina,7332,1057,14.42
Scordia,16033,1420,8.86
Trecastagni,9044,1610,17.8
Tremestieri Etneo,17106,3108,18.17
Valverde,6489,1133,17.46
Viagrande,7176,1090,15.19
Vizzini,7955,534,6.71
Zafferana Etnea,8267,1127,13.63
