comune,elettori,votanti,percentuale
Alcamo,40100,4325,10.79
Buseto Palizzolo,2871,161,5.61
Calatafimi Segesta,7112,402,5.65
Campobello di Mazara,11793,981,8.32
Castellammare del Golfo,14802,1036,7
Castelvetrano,28173,2533,8.99
Custonaci,4793,331,6.91
Erice,24527,3070,12.52
Favignana,4383,526,12
Gibellina,4029,288,7.15
Marsala,70000,5435,7.76
Mazara del Vallo,43522,5773,13.26
Paceco,9975,1102,11.05
Pantelleria,6504,516,7.93
Partanna,10131,720,7.11
Petrosino,6585,462,7.02
Poggioreale,1670,115,6.89
Salaparuta,1835,113,6.16
Salemi,10122,922,9.11
San Vito Lo Capo,5212,385,7.39
Santa Ninfa,4491,461,10.26
Trapani,59878,6139,10.25
Valderice,10605,1092,10.3
Vita,2017,93,4.61
