comune,elettori,votanti,percentuale
Acquaviva Platani,3110,406,13.05
Bompensiere,1135,256,22.56
Butera,5874,1468,24.99
Caltanissetta,56558,21760,38.47
Campofranco,3201,1083,33.83
Delia,6971,1334,19.14
Gela,65937,20779,31.51
Marianopoli,2154,511,23.72
Mazzarino,11939,3985,33.38
Milena,3867,1294,33.46
Montedoro,2846,596,20.94
Mussomeli,11703,4411,37.69
Niscemi,25199,6406,25.42
Resuttano,2632,612,23.25
Riesi,15297,3109,20.32
San Cataldo,24941,7153,28.68
Santa Caterina Villarmosa,6889,1569,22.78
Serradifalco,8631,2686,31.12
Sommatino,11345,1923,16.95
Sutera,2726,643,23.59
Vallelunga Pratameno,3491,877,25.12
Villalba,1925,494,25.66
