comune,elettori,votanti,percentuale
Agira,10561,2347,22.22
Aidone,6581,1369,20.8
Assoro,5564,1837,33.02
Barrafranca,17119,3647,21.3
Calascibetta,6123,1486,24.27
Catenanuova,5448,1521,27.92
Centuripe,6996,2291,32.75
Cerami,3023,903,29.87
Enna,26872,9653,35.92
Gagliano Castelferrato,3702,1041,28.12
Leonforte,15597,4239,27.18
Nicosia,14171,4083,28.81
Nissoria,4171,1187,28.46
Piazza Armerina,22947,7175,31.27
Pietraperzia,10531,2072,19.68
Regalbuto,9776,2184,22.34
Sperlinga,901,379,42.06
Troina,9788,3223,32.93
Valguarnera Caropepe,12819,2749,21.44
Villarosa,8690,1444,16.62
