comune,elettori,votanti,percentuale
Augusta,32285,13144,40.71
Avola,27741,10214,36.82
Buccheri,2734,603,22.06
Buscemi,1121,461,41.12
Canicattini Bagni,7143,3018,42.25
Carlentini,15688,6383,40.69
Cassaro,904,317,35.07
Ferla,2506,926,36.95
Floridia,19821,7533,38.01
Francofonte,12619,4288,33.98
Lentini,21896,7293,33.31
Melilli,12220,5464,44.71
Noto,20851,7317,35.09
Pachino,20987,6717,32.01
Palazzolo Acreide,8635,3029,35.08
Portopalo di Capo Passero,3380,1422,42.07
Priolo Gargallo,10244,5415,52.86
Rosolini,19862,7523,37.88
Siracusa,103322,40926,39.61
Solarino,7548,2633,34.88
Sortino,8208,3567,43.46
