comune,elettori,votanti,percentuale
Agrigento,52894,25985,49.13
Alessandria della Rocca,4296,1304,30.35
Aragona,15128,4669,30.86
Bivona,3941,1936,49.12
Burgio,3500,1405,40.14
Calamonaci,1897,623,32.84
Caltabellotta,3890,1732,44.52
Camastra,2511,1071,42.65
Cammarata,5395,3303,61.22
Campobello di Licata,10679,4088,38.28
Canicattì,32265,14143,43.83
Casteltermini,12479,4555,36.5
Castrofilippo,4133,1050,25.41
Cattolica Eraclea,7058,2123,30.08
Cianciana,6729,1772,26.33
Comitini,1811,492,27.17
Favara,34778,14375,41.33
Grotte,9606,2840,29.56
Joppolo Giancaxio,1946,614,31.55
Lampedusa e Linosa,5399,1504,27.86
Licata,42703,12606,29.52
Lucca Sicula,2195,944,43.01
Menfi,12795,5644,44.11
Montallegro,3664,1312,35.81
Montevago,3111,1579,50.76
Naro,10525,3317,31.52
Palma di Montechiaro,26381,7558,28.65
Porto Empedocle,16716,7462,44.64
Racalmuto,10700,3677,34.36
Raffadali,13831,6348,45.9
Ravanusa,14855,4715,31.74
Realmonte,5205,2196,42.19
Ribera,20181,8596,42.59
Sambuca di Sicilia,5645,3043,53.91
San Biagio Platani,5740,1564,27.25
San Giovanni Gemini,7412,4255,57.41
Sant'Angelo Muxaro,3314,691,20.85
Santa Elisabetta,4713,1189,25.23
Santa Margherita di Belice,6541,2791,42.67
Santo Stefano Quisquina,4678,2037,43.54
Sciacca,35783,17639,49.29
Siculiana,5591,2397,42.87
Villafranca Sicula,1382,643,46.53
