comune,elettori,votanti,percentuale
Acquedolci,4980,False,False
Alcara Li Fusi,2443,False,False
Alì,948,False,False
Alì Terme,2286,False,False
Antillo,904,False,False
Barcellona Pozzo di Gotto,36824,False,False
Basicò,1349,False,False
Brolo,5077,False,False
Capizzi,3542,False,False
Capo d'Orlando,12957,False,False
Caprileone,4233,False,False
Caronia,3225,False,False
Casalvecchio Siculo,950,False,False
Castel Di Lucio,1953,False,False
Castell'Umberto,2993,False,False
Castelmola,1012,False,False
Castroreale,2420,False,False
Cesarò,2604,False,False
Condrò,524,False,False
Falcone,3298,False,False
Ficarra,1487,False,False
Fiumedinisi,1450,False,False
Floresta,426,False,False
Fondachelli Fantina,1011,False,False
Forza d'Agrò,1004,False,False
Francavilla Di Sicilia,4320,False,False
Frazzanò,866,False,False
Furci Siculo,3114,False,False
Furnari,4241,False,False
Gaggi,3008,False,False
Galati Mamertino,2645,False,False
Gallodoro,418,False,False
Giardini Naxos,9053,False,False
Gioiosa Marea,6741,False,False
Graniti,1633,False,False
Gualtieri Sicaminò,1816,False,False
Itala,1455,False,False
Leni,759,False,False
Letojanni,2442,False,False
Librizzi,1952,False,False
Limina,1658,False,False
Lipari,12296,False,False
Longi,1434,False,False
Malfa,999,False,False
Malvagna,884,False,False
Mandanici,722,False,False
Mazzarrà Sant'Andrea,1507,False,False
Merì,2058,False,False
Messina,197470,False,False
Milazzo,27782,False,False
Militello Rosmarino,1197,False,False
Mirto,1174,False,False
Mistretta,4612,False,False
Moio Alcantara,728,False,False
Monforte San Giorgio,2976,False,False
Mongiuffi Melia,573,False,False
Montagnareale,1558,False,False
Montalbano Elicona,2659,False,False
Motta Camastra,1170,False,False
Motta d'Affermo,806,False,False
Naso,5024,False,False
Nizza Di Sicilia,3530,False,False
Novara Di Sicilia,1758,False,False
Oliveri,2542,False,False
Pace del Mela,5435,False,False
Pagliara,1205,False,False
Patti,11893,False,False
Pettineo,2681,False,False
Piraino,3775,False,False
Raccuja,1056,False,False
Reitano,811,False,False
Roccafiorita,248,False,False
Roccalumera,3786,False,False
Roccavaldina,1198,False,False
Roccella Valdemone,796,False,False
Rodì Milici,2073,False,False
Rometta,5918,False,False
San Filippo del Mela,6307,False,False
San Fratello,3676,False,False
San Marco d'Alunzio,2113,False,False
San Pier Niceto,3572,False,False
San Piero Patti,3283,False,False
San Salvatore di Fitalia,1583,False,False
San Teodoro,1314,False,False
Sant'Agata di Militello,11365,False,False
Sant'Alessio Siculo,1419,False,False
Sant'Angelo di Brolo,3405,False,False
Santa Domenica Vittoria,883,False,False
Santa Lucia del Mela,4467,False,False
Santa Marina Salina,1044,False,False
Santa Teresa di Riva,8453,False,False
Santo Stefano di Camastra,4394,False,False
Saponara,3652,False,False
Savoca,1580,False,False
Scaletta Zanclea,2129,False,False
Sinagra,3025,False,False
Spadafora,4826,False,False
Taormina,9723,False,False
Terme Vigliatore,6587,False,False
Torregrotta,6735,False,False
Torrenova,4104,False,False
Tortorici,6018,False,False
Tripi,1728,False,False
Tusa,3159,False,False
Ucria,1184,False,False
Valdina,1175,False,False
Venetico,3447,False,False
Villafranca Tirrena,7641,False,False
