comune,elettori,votanti,percentuale
Agrigento,52894,False,False
Alessandria della Rocca,4296,False,False
Aragona,15128,False,False
Bivona,3941,False,False
Burgio,3500,False,False
Calamonaci,1897,False,False
Caltabellotta,3890,False,False
Camastra,2511,False,False
Cammarata,5395,False,False
Campobello di Licata,10679,False,False
Canicattì,32265,False,False
Casteltermini,12479,False,False
Castrofilippo,4133,False,False
Cattolica Eraclea,7058,False,False
Cianciana,6729,False,False
Comitini,1811,False,False
Favara,34778,False,False
Grotte,9606,False,False
Joppolo Giancaxio,1946,False,False
Lampedusa e Linosa,5399,False,False
Licata,42703,False,False
Lucca Sicula,2195,False,False
Menfi,12795,False,False
Montallegro,3664,False,False
Montevago,3111,False,False
Naro,10525,False,False
Palma di Montechiaro,26381,False,False
Porto Empedocle,16716,False,False
Racalmuto,10700,False,False
Raffadali,13831,False,False
Ravanusa,14855,False,False
Realmonte,5205,False,False
Ribera,20181,False,False
Sambuca di Sicilia,5645,False,False
San Biagio Platani,5740,False,False
San Giovanni Gemini,7412,False,False
Sant'Angelo Muxaro,3314,False,False
Santa Elisabetta,4713,False,False
Santa Margherita di Belice,6541,False,False
Santo Stefano Quisquina,4678,False,False
Sciacca,35783,False,False
Siculiana,5591,False,False
Villafranca Sicula,1382,False,False
Acquaviva Platani,3110,False,False
Bompensiere,1135,False,False
Butera,5874,False,False
Caltanissetta,56558,False,False
Campofranco,3201,False,False
Delia,6971,False,False
Gela,65937,False,False
Marianopoli,2154,False,False
Mazzarino,11939,False,False
Milena,3867,False,False
Montedoro,2846,False,False
Mussomeli,11703,False,False
Niscemi,25199,False,False
Resuttano,2632,False,False
Riesi,15297,False,False
San Cataldo,24941,False,False
Santa Caterina Villarmosa,6889,False,False
Serradifalco,8631,False,False
Sommatino,11345,False,False
Sutera,2726,False,False
Vallelunga Pratameno,3491,False,False
Villalba,1925,False,False
Aci Bonaccorsi,2915,False,False
Aci Castello,16193,False,False
Aci Catena,24140,False,False
Aci Sant'Antonio,14956,False,False
Acireale,45765,False,False
Adrano,35534,False,False
Belpasso,22848,False,False
Biancavilla,21537,False,False
Bronte,19007,False,False
Calatabiano,5362,False,False
Caltagirone,34842,False,False
Camporotondo Etneo,3968,False,False
Castel di Judica,4280,False,False
Castiglione di Sicilia,4186,False,False
Catania,264764,False,False
Fiumefreddo di Sicilia,9054,False,False
Giarre,24910,False,False
Grammichele,14235,False,False
Gravina di Catania,21784,False,False
Licodia Eubea,3582,False,False
Linguaglossa,5435,False,False
Maletto,4702,False,False
Maniace,2969,False,False
Mascali,12613,False,False
Mascalucia,26121,False,False
Mazzarrone,2972,False,False
Militello in Val di Catania,8196,False,False
Milo,1032,False,False
Mineo,7408,False,False
Mirabella Imbaccari,9153,False,False
Misterbianco,40255,False,False
