PRO_COM,comune,elettori,perc_h12,perc_h19,perc_h22
84001,Agrigento,52894,12.83,40.12,49.13
84002,Alessandria della Rocca,4296,4.24,20,30.35
84003,Aragona,15128,5.9,23.34,30.86
84004,Bivona,3941,9.54,36.82,49.12
84005,Burgio,3500,6.94,27.4,40.09
84006,Calamonaci,1897,5.9,24.99,32.84
84007,Caltabellotta,3890,8.02,31.18,44.52
84008,Camastra,2511,9.88,35.44,42.65
84009,Cammarata,5395,10.45,39.8,61.22
84010,Campobello di Licata,10679,7.34,28.32,38.28
84011,Canicattì,32265,9.38,32.86,43.83
84012,Casteltermini,12479,6.43,26.56,36.5
84013,Castrofilippo,4133,4.21,18.82,25.41
84014,Cattolica Eraclea,7058,5.6,24.68,30.08
84015,Cianciana,6729,4.12,17.48,26.29
84016,Comitini,1811,4.03,19.88,27.17
84017,Favara,34778,7.22,31.76,41.03
84018,Grotte,9606,6.39,23.16,29.56
84019,Joppolo Giancaxio,1946,6.83,26.67,31.55
84020,Lampedusa e Linosa,5399,6.67,20.76,27.86
84021,Licata,42703,6.6,22.27,29.52
84022,Lucca Sicula,2195,5.06,31.03,43.01
84023,Menfi,12795,7.19,32.77,44.11
84024,Montallegro,3664,7.18,27.59,35.81
84025,Montevago,3111,8.29,40.24,50.76
84026,Naro,10525,6.32,25.66,31.45
84027,Palma di Montechiaro,26381,5.78,22.84,28.65
84028,Porto Empedocle,16716,11.72,36.44,44.59
84029,Racalmuto,10700,5.69,23.36,34.36
84030,Raffadali,13831,7.29,33.42,45.9
84031,Ravanusa,14855,6.62,24.37,31.74
84032,Realmonte,5205,8.78,33.1,42.19
84033,Ribera,20181,7.1,32.7,42.58
84034,Sambuca di Sicilia,5645,10.38,42.13,53.87
84035,San Biagio Platani,5740,4.63,20.02,27.25
84036,San Giovanni Gemini,7412,11.62,37.97,57.38
84039,Sant'Angelo Muxaro,3314,4.8,14.88,20.85
84037,Santa Elisabetta,4713,3.54,16.23,25.23
84038,Santa Margherita di Belice,6541,6.34,30.3,42.59
84040,Santo Stefano Quisquina,4678,7.4,29.82,43.54
84041,Sciacca,35783,11.25,38.3,49.29
84042,Siculiana,5591,7.51,31.34,42.87
84043,Villafranca Sicula,1382,5.21,35.75,46.53
85001,Acquaviva Platani,3110,3.22,13.05,16.88
85002,Bompensiere,1135,4.58,22.56,30.04
85003,Butera,5874,6.81,24.99,33.76
85004,Caltanissetta,56558,13.05,38.47,49.23
85005,Campofranco,3201,8.12,33.83,45.58
85006,Delia,6971,5.16,19.14,25.23
85007,Gela,65937,9.47,31.51,41.01
85008,Marianopoli,2154,3.71,23.72,38.21
85009,Mazzarino,11939,8.22,33.38,44.99
85010,Milena,3867,6.88,33.46,43.52
85011,Montedoro,2846,4.53,20.94,27.3
85012,Mussomeli,11703,9.7,37.69,51.49
85013,Niscemi,25199,7.14,25.42,34.58
85014,Resuttano,2632,4.33,23.25,34.16
85015,Riesi,15297,4.87,20.32,28.37
85016,San Cataldo,24941,8.33,28.68,40.55
85017,Santa Caterina Villarmosa,6889,6.18,22.78,32.33
85018,Serradifalco,8631,9.83,31.12,39.83
85019,Sommatino,11345,3.93,16.95,22.55
85020,Sutera,2726,5.65,23.59,29.16
85021,Vallelunga Pratameno,3491,4.87,25.12,40.5
85022,Villalba,1925,6.86,25.66,39.22
87001,Aci Bonaccorsi,2915,18.22,51.97,64.12
87002,Aci Castello,16193,17.84,48.13,57.73
87003,Aci Catena,24140,16.04,45.79,57.38
87005,Aci Sant'Antonio,14956,15.26,48.19,59.23
87004,Acireale,45765,17.35,49.36,59.61
87006,Adrano,35534,8.46,31.24,41.81
87007,Belpasso,22848,14.05,44.88,58.15
87008,Biancavilla,21537,9.07,35.65,48.49
87009,Bronte,19007,7.24,33.76,47.35
87010,Calatabiano,5362,8.99,33.16,42.26
87011,Caltagirone,34842,9.95,44.36,48.47
87012,Camporotondo Etneo,3968,5.75,53.43,66.51
87013,Castel di Judica,4280,10.33,42.06,58.25
87014,Castiglione di Sicilia,4186,5.33,25.73,35.52
87015,Catania,264764,13.33,36.86,49.5
87016,Fiumefreddo di Sicilia,9054,9.95,32.79,45.35
87017,Giarre,24910,9.4,35.54,51.62
87018,Grammichele,14235,6.29,24.59,40.38
87019,Gravina di Catania,21784,16.91,46.62,57.49
87020,Licodia Eubea,3582,4.27,23.12,31.43
87021,Linguaglossa,5435,8.33,34.44,48.48
87022,Maletto,4702,6.4,28.52,41.39
87057,Maniace,2969,7.95,42.2,69.75
87023,Mascali,12613,14.32,42.04,52.89
87024,Mascalucia,26121,16.76,47.63,58.56
