comune,Codice Comune formato alfanumerico,PRO_COM
Agrigento,084001,84001
Alessandria della Rocca,084002,84002
Aragona,084003,84003
Bivona,084004,84004
Burgio,084005,84005
Calamonaci,084006,84006
Caltabellotta,084007,84007
Camastra,084008,84008
Cammarata,084009,84009
Campobello di Licata,084010,84010
Canicattì,084011,84011
Casteltermini,084012,84012
Castrofilippo,084013,84013
Cattolica Eraclea,084014,84014
Cianciana,084015,84015
Comitini,084016,84016
Favara,084017,84017
Grotte,084018,84018
Joppolo Giancaxio,084019,84019
Lampedusa e Linosa,084020,84020
Licata,084021,84021
Lucca Sicula,084022,84022
Menfi,084023,84023
Montallegro,084024,84024
Montevago,084025,84025
Naro,084026,84026
Palma di Montechiaro,084027,84027
Porto Empedocle,084028,84028
Racalmuto,084029,84029
Raffadali,084030,84030
Ravanusa,084031,84031
Realmonte,084032,84032
Ribera,084033,84033
Sambuca di Sicilia,084034,84034
San Biagio Platani,084035,84035
San Giovanni Gemini,084036,84036
Sant'Angelo Muxaro,084039,84039
Santa Elisabetta,084037,84037
Santa Margherita di Belice,084038,84038
Santo Stefano Quisquina,084040,84040
Sciacca,084041,84041
Siculiana,084042,84042
Villafranca Sicula,084043,84043
Acquaviva Platani,085001,85001
Bompensiere,085002,85002
Butera,085003,85003
Caltanissetta,085004,85004
Campofranco,085005,85005
Delia,085006,85006
Gela,085007,85007
Marianopoli,085008,85008
Mazzarino,085009,85009
Milena,085010,85010
Montedoro,085011,85011
Mussomeli,085012,85012
Niscemi,085013,85013
Resuttano,085014,85014
Riesi,085015,85015
San Cataldo,085016,85016
Santa Caterina Villarmosa,085017,85017
Serradifalco,085018,85018
Sommatino,085019,85019
Sutera,085020,85020
Vallelunga Pratameno,085021,85021
Villalba,085022,85022
Aci Bonaccorsi,087001,87001
Aci Castello,087002,87002
Aci Catena,087003,87003
Aci Sant'Antonio,087005,87005
Acireale,087004,87004
Adrano,087006,87006
Belpasso,087007,87007
Biancavilla,087008,87008
Bronte,087009,87009
Calatabiano,087010,87010
Caltagirone,087011,87011
Camporotondo Etneo,087012,87012
Castel di Judica,087013,87013
Castiglione di Sicilia,087014,87014
Catania,087015,87015
